num, permutation, resultat, departements, valides, creuse, adjacents, tripoint
663,12017757,4005919,04-00-59-19,False,False,0,
664,12017775,4005925,04-00-59-25,False,False,0,
665,12051777,4017259,04-01-72-59,True,False,0,
666,12057177,4019059,04-01-90-59,True,False,0,
667,12057717,4019239,04-01-92-39,True,False,1,
668,12057771,4019257,04-01-92-57,True,False,0,
669,12071577,4023859,04-02-38-59,True,False,1,
670,12071757,4023919,04-02-39-19,True,False,0,
671,12071775,4023925,04-02-39-25,True,False,1,
672,12075177,4025059,04-02-50-59,True,False,1,
673,12075717,4025239,04-02-52-39,True,False,0,
674,12075771,4025257,04-02-52-57,True,False,0,
675,12077157,4025719,04-02-57-19,True,False,0,
676,12077175,4025725,04-02-57-25,True,False,0,
677,12077517,4025839,04-02-58-39,True,False,0,
678,12077571,4025857,04-02-58-57,True,False,0,
679,12077715,4025905,04-02-59-05,True,False,2,
680,12077751,4025917,04-02-59-17,True,False,1,
681,12105777,4035259,04-03-52-59,True,False,0,
682,12107577,4035859,04-03-58-59,True,False,1,
683,12107757,4035919,04-03-59-19,True,False,0,
684,12107775,4035925,04-03-59-25,True,False,0,
685,12150777,4050259,04-05-02-59,True,False,2,
686,12157077,4052359,04-05-23-59,True,True,1,
687,12157707,4052569,04-05-25-69,True,False,1,
688,12157770,4052590,04-05-25-90,True,False,2,
689,12170577,4056859,04-05-68-59,True,False,1,
690,12170757,4056919,04-05-69-19,True,False,1,
691,12170775,4056925,04-05-69-25,True,False,1,
692,12175077,4058359,04-05-83-59,True,False,2,
693,12175707,4058569,04-05-85-69,True,False,1,
694,12175770,4058590,04-05-85-90,True,False,1,
695,12177057,4059019,04-05-90-19,True,False,1,
696,12177075,4059025,04-05-90-25,True,False,2,
697,12177507,4059169,04-05-91-69,True,False,1,
698,12177570,4059190,04-05-91-90,True,False,1,
699,12177705,4059235,04-05-92-35,True,False,1,
700,12177750,4059250,04-05-92-50,True,False,1,
701,12501777,4167259,04-16-72-59,True,False,0,
702,12507177,4169059,04-16-90-59,True,False,0,
703,12507717,4169239,04-16-92-39,True,False,0,
704,12507771,4169257,04-16-92-57,True,False,0,
705,12510777,4170259,04-17-02-59,True,False,1,
706,12517077,4172359,04-17-23-59,True,True,0,
707,12517707,4172569,04-17-25-69,True,False,0,
708,12517770,4172590,04-17-25-90,True,False,1,
709,12570177,4190059,04-19-00-59,False,False,0,
710,12570717,4190239,04-19-02-39,True,False,0,
711,12570771,4190257,04-19-02-57,True,False,0,
712,12571077,4190359,04-19-03-59,True,False,0,
713,12571707,4190569,04-19-05-69,True,False,1,
714,12571770,4190590,04-19-05-90,True,False,1,
715,12577017,4192339,04-19-23-39,True,True,1,
716,12577071,4192357,04-19-23-57,True,True,1,
717,12577107,4192369,04-19-23-69,True,True,1,
718,12577170,4192390,04-19-23-90,True,True,1,
719,12577701,4192567,04-19-25-67,True,False,0,
720,12577710,4192570,04-19-25-70,True,False,1,
721,12701577,4233859,04-23-38-59,True,True,0,
722,12701757,4233919,04-23-39-19,True,True,1,
723,12701775,4233925,04-23-39-25,True,True,1,
724,12705177,4235059,04-23-50-59,True,True,0,
725,12705717,4235239,04-23-52-39,True,True,0,
726,12705771,4235257,04-23-52-57,True,True,0,
727,12707157,4235719,04-23-57-19,True,True,1,
728,12707175,4235725,04-23-57-25,True,True,0,
729,12707517,4235839,04-23-58-39,True,True,0,
730,12707571,4235857,04-23-58-57,True,True,0,
731,12707715,4235905,04-23-59-05,True,True,1,
732,12707751,4235917,04-23-59-17,True,True,0,
733,12710577,4236859,04-23-68-59,True,True,0,
734,12710757,4236919,04-23-69-19,True,True,1,
735,12710775,4236925,04-23-69-25,True,True,0,
736,12715077,4238359,04-23-83-59,True,True,1,
737,12715707,4238569,04-23-85-69,True,True,0,
738,12715770,4238590,04-23-85-90,True,True,0,
739,12717057,4239019,04-23-90-19,True,True,1,
740,12717075,4239025,04-23-90-25,True,True,1,
741,12717507,4239169,04-23-91-69,True,True,0,
742,12717570,4239190,04-23-91-90,True,True,0,
743,12717705,4239235,04-23-92-35,True,True,0,
744,12717750,4239250,04-23-92-50,True,True,0,
745,12750177,4250059,04-25-00-59,False,False,0,
746,12750717,4250239,04-25-02-39,True,False,1,
747,12750771,4250257,04-25-02-57,True,False,0,
748,12751077,4250359,04-25-03-59,True,False,0,
749,12751707,4250569,04-25-05-69,True,False,1,
750,12751770,4250590,04-25-05-90,True,False,2,
751,12757017,4252339,04-25-23-39,True,True,1,
752,12757071,4252357,04-25-23-57,True,True,0,
753,12757107,4252369,04-25-23-69,True,True,0,
754,12757170,4252390,04-25-23-90,True,True,1,
755,12757701,4252567,04-25-25-67,False,False,0,
756,12757710,4252570,04-25-25-70,False,False,0,
757,12770157,4256719,04-25-67-19,True,False,0,
758,12770175,4256725,04-25-67-25,False,False,0,
759,12770517,4256839,04-25-68-39,True,False,1,
760,12770571,4256857,04-25-68-57,True,False,0,
761,12770715,4256905,04-25-69-05,True,False,1,
762,12770751,4256917,04-25-69-17,True,False,0,
763,12771057,4257019,04-25-70-19,True,False,1,
764,12771075,4257025,04-25-70-25,False,False,0,
765,12771507,4257169,04-25-71-69,True,False,1,
766,12771570,4257190,04-25-71-90,True,False,1,
767,12771705,4257235,04-25-72-35,True,False,0,
768,12771750,4257250,04-25-72-50,True,False,0,
769,12775017,4258339,04-25-83-39,True,False,2,
770,12775071,4258357,04-25-83-57,True,False,1,
771,12775107,4258369,04-25-83-69,True,False,1,
772,12775170,4258390,04-25-83-90,True,False,2,
773,12775701,4258567,04-25-85-67,True,False,0,
774,12775710,4258570,04-25-85-70,True,False,1,
775,12777015,4259005,04-25-90-05,True,False,2,
776,12777051,4259017,04-25-90-17,True,False,1,
777,12777105,4259035,04-25-90-35,True,False,1,
778,12777150,4259050,04-25-90-50,True,False,1,
779,12777501,4259167,04-25-91-67,True,False,0,
780,12777510,4259170,04-25-91-70,True,False,1,
781,15012777,5004259,05-00-42-59,False,False,0,
782,15017277,5005759,05-00-57-59,False,False,0,
783,15017727,5005909,05-00-59-09,False,False,0,
784,15017772,5005924,05-00-59-24,False,False,0,
785,15021777,5007259,05-00-72-59,False,False,0,
786,15027177,5009059,05-00-90-59,False,False,0,
787,15027717,5009239,05-00-92-39,False,False,0,
788,15027771,5009257,05-00-92-57,False,False,0,
789,15071277,5023759,05-02-37-59,True,False,1,
790,15071727,5023909,05-02-39-09,True,False,0,
